Title,Pages,URL,Author Name,Genre
The Book Thief,552,https://www.goodreads.com/book/show/19063,Markus Zusak,Historical Fiction
The Hunger Games,374,https://www.goodreads.com/book/show/2767052,Suzanne Collins,Science Fiction
Romeo and Juliet,301,https://www.goodreads.com/book/show/18135,William Shakespeare,Romance
To Kill a Mockingbird,324,https://www.goodreads.com/book/show/2657,Harper Lee,Historical Fiction
Pride and Prejudice,279,https://www.goodreads.com/book/show/1885,Jane Austen,Historical Fiction
Twilight,501,https://www.goodreads.com/book/show/41865,Stephenie Meyer,Fantasy
Animal Farm,141,https://www.goodreads.com/book/show/170448,George Orwell,Science Fiction
The Chronicles of Narnia,767,https://www.goodreads.com/book/show/11127,C.S. Lewis,Fantasy
The Fault in Our Stars,313,https://www.goodreads.com/book/show/11870085,John Green,Romance
Gone with the Wind,1037,https://www.goodreads.com/book/show/18405,Margaret Mitchell,Historical Fiction
The Alchemist,182,https://www.goodreads.com/book/show/18144590,Paulo Coelho,Philosophy
The Da Vinci Code,489,https://www.goodreads.com/book/show/968,Dan Brown,Mystery Thriller
The Picture of Dorian Gray,272,https://www.goodreads.com/book/show/5297,Oscar Wilde,Horror
Memoirs of a Geisha,503,https://www.goodreads.com/book/show/929,Arthur Golden,Historical Fiction
Fahrenheit 451,194,https://www.goodreads.com/book/show/13079982,Ray Bradbury,Science Fiction
Lord of the Flies,182,https://www.goodreads.com/book/show/7624,William Golding,Science Fiction